anders anundsen|frp
anne enger lahnstein|sp
anne holt|UNK
anne kristin sydnes|UNK
anne-grete strøm- erichsen|UNK
anne-grete strøm-erichsen|UNK
anne-grete|UNK
anne|UNK
anniken hauglie|UNK
anniken huitfeldt|a
anniken|UNK
ansgar gabrielsen|h
aud inger aure|UNK
aud-inger aure|UNK
audun lysbakken|sv
bendik rugaas|UNK
bent høie|h
bjarne håkon hanssen|a
bjarne håkon|UNK
bjarne|UNK
bjørn tore godal|UNK
bård vegar solhjell|sv
bård vegar|UNK
bård|UNK
børge brende|h
børge|UNK
dag jostein fjærvoll|krf
dag terje andersen|a
dag terje|UNK
dagfinn høybråten|UNK
einar steensnæs|krf
eldbjørg løwer|UNK
elisabeth aspaker|h
ellen horn|UNK
en dagfinn høybråten|UNK
en thorbjørn jagland|UNK
erik solheim|sv
erik|UNK
erna solberg|h
erna|UNK
espen barth eide|UNK
gerd-liv valla|UNK
grete berget|UNK
grete faremo|UNK
grete knudsen|a
gro harlem brundtland|UNK
gudmund hernes|UNK
gudmund restad|sp
gunhild øyangen|a
gunnar berge|UNK
guri ingebrigtsen|UNK
guro fjellanger|UNK
hadia tajik|a
hanne bjurstrøm|UNK
hanne harlem|UNK
hanne inger bjurstrøm|UNK
heidi grande røys|sv
heidi grande|UNK
helen bjørnøy|UNK
helga pedersen|a
helga|UNK
hilde frafjord johnson|krf
hilde frafjord|UNK
hill-marta solberg|a
ine m. eriksen søreide|h
inga marte thorkildsen|sv
ingjerd schou|h
jan henry t olsen|UNK
jan henry t. olsen|UNK
jan tore sanner|h
jens stoltenberg|UNK
jon georg dale|frp
jon lilletun|krf
jonas gahr støre|UNK
jørgen kosmo|UNK
kari nordheim-larsen|UNK
karita bekkemellem orheim|a
karita bekkemellem|UNK
karl eirik schjøtt-pedersen|a
karl-eirik schjøtt-pedersen|UNK
ketil solvik-olsen|frp
kjell magne bondevik|krf
kjell opseth|a
knut arild hareide|krf
knut arild|UNK
knut storberget|a
kristin clemet|UNK
kristin halvorsen|sv
kristin krohn devold|h
kristin krohn|UNK
kristin|UNK
kåre gjønnes|UNK
laila dåvøy|krf
lars peder brekk|UNK
lars sponheim|v
linda c. hofstad helleland|h
lisbeth berg-hansen|a
liv signe navarsete|sp
liv signe|UNK
magnhild meltveit kleppa|sp
magnhild meltveit|UNK
magnhild|UNK
manuela ramin-osmundsen|UNK
marit arnstad|sp
monica mæland|UNK
morten andreas meyer|UNK
morten andreas|UNK
nils olav totland|UNK
odd einar dørum|v
odd einar|UNK
odd eriksen|a
odd roger enoksen|sp
odd roger|UNK
ola borten moe|sp
olav akselsen|a
otto gregussen|UNK
per sandberg|frp
per-kristian foss|h
per-kristian|UNK
peter angelsen|sp
ragnhild queseth haarstad|sp
ranveig frøiland|a
reidar sandal|a
rigmor aasrud|a
robert eriksson|frp
sigbjørn johnsen|UNK
siri bjerke|UNK
sissel rønbeck|UNK
siv jensen|frp
solveig horne|frp
svein ludvigsen|h
sylvi listhaug|UNK
sylvia brustad|a
sylvia kristin brustad|a
sylvia|UNK
terje moe gustavsen|UNK
terje riis-johansen|sp
terje riis|UNK
terje|UNK
thorbjørn berntsen|UNK
thorbjørn jagland|UNK
thorhild widvey|h
thorhild|UNK
tine sundtoft|UNK
tora aasland|UNK
torbjørn røe isaksen|h
tord lien|frp
tore tønne|UNK
torhild skogsholm|UNK
torild skogsholm|UNK
torild|UNK
trond giske|a
trygve slagsvold vedum|sp
turid birkeland|UNK
valgerd svarstad haugland|krf
valgerd svarstad|UNK
victor d. norman|UNK
vidar helgesen|UNK
werner christie|UNK
åse kleveland|UNK
åslaug haga|sp
åslaug marie haga|UNK
åslaug|UNK
øystein|UNK
